Price,Carat,Clarity,Color,Cut,Table,Length,Width,Depth,DepthPercentage
327,0.23,VS1,E,Good,65,4.05,4.07,2.31,56.9
334,0.29,VS2,I,Premium,58,4.2,4.23,2.63,62.4
336,0.24,VVS2,J,Very Good,57,3.94,3.96,2.48,62.8
336,0.24,VVS1,I,Very Good,57,3.95,3.98,2.47,62.3
338,0.23,VS1,H,Very Good,61,4,4.05,2.39,59.4
340,0.23,VS1,J,Ideal,56,3.93,3.9,2.46,62.8
345,0.2,SI2,E,Premium,62,3.79,3.75,2.27,60.2
345,0.32,I1,E,Premium,58,4.38,4.42,2.68,60.9
351,0.3,SI2,I,Good,56,4.26,4.3,2.71,63.3
351,0.3,SI1,J,Good,56,4.23,4.26,2.71,63.8
352,0.23,VS2,E,Very Good,55,3.85,3.92,2.48,63.8
353,0.31,SI1,J,Very Good,62,4.39,4.43,2.62,59.4
353,0.31,SI1,J,Very Good,62,4.44,4.47,2.59,58.1
357,0.23,VS2,D,Very Good,61,3.96,3.97,2.4,60.5
360,0.3,SI2,I,Ideal,55,4.32,4.33,2.68,62
361,0.32,I1,D,Good,54,4.33,4.36,2.78,64
362,0.23,VS2,D,Very Good,58,3.86,3.89,2.43,62.7
362,0.26,SI2,H,Ideal,53,4.09,4.13,2.57,62.5
366,0.33,SI2,J,Ideal,54,4.43,4.45,2.77,62.4
367,0.2,VS2,D,Premium,60,3.73,3.68,2.31,62.3
367,0.2,VS2,E,Premium,60,3.81,3.78,2.24,59
367,0.3,SI1,J,Ideal,57,4.27,4.3,2.67,62.3
367,0.2,VS2,D,Premium,60,3.77,3.72,2.31,61.7
367,0.3,SI2,I,Ideal,56,4.3,4.32,2.67,61.9
367,0.2,VS2,D,Ideal,57,3.81,3.77,2.33,61.5
373,0.3,VS1,J,Ideal,53,4.28,4.32,2.69,62.6
373,0.23,VS1,E,Good,59,3.84,3.87,2.48,64.3
375,0.23,SI1,G,Ideal,56,3.97,4,2.44,61.2
378,0.23,VS1,E,Very Good,62,3.93,3.99,2.39,60.4
378,0.3,SI2,H,Premium,60,4.27,4.29,2.65,61.9
380,0.31,VS2,J,Very Good,58,4.3,4.34,2.71,62.7
382,0.28,SI1,G,Very Good,55,4.2,4.25,2.62,62
382,0.3,SI2,G,Ideal,57,4.26,4.3,2.64,61.7
382,0.26,VS1,H,Premium,59,4.06,4.1,2.54,62.3
